Token,EmotionCount,Emotions
erleuchtet,2,"joy, neutral"
federn,5,"admiration, amusement, joy, neutral, sadness"
zauberei,2,"disgust, neutral"
lieb,4,"admiration, disapproval, love, neutral"
male,3,"gratitude, neutral, sadness"
mild,3,"admiration, neutral, sadness"
ward,2,"neutral, sadness"
lebte,5,"amusement, love, neutral, realization, sadness"
kluge,2,"admiration, neutral"
bekomme,2,"annoyance, neutral"
sticken,2,"admiration, neutral"
gelehrsamkeit,2,"disapproval, neutral"
wollt,5,"curiosity, desire, joy, neutral, sadness"
plaudern,2,"disgust, neutral"
nehme,2,"neutral, sadness"
gebe,3,"approval, caring, neutral"
stande,3,"disgust, neutral, realization"
halloh,2,"excitement, neutral"
seltenen,2,"curiosity, neutral"
anzusehen,5,"admiration, approval, fear, neutral, pride"
tölpel,2,"amusement, neutral"
holzschuh,2,"curiosity, neutral"
füllte,2,"joy, neutral"
zeug,7,"admiration, anger, approval, curiosity, disapproval, neutral, realization"
glied,2,"admiration, neutral"
rühren,4,"admiration, desire, neutral, surprise"
empfing,3,"amusement, disgust, neutral"
verließ,3,"curiosity, joy, neutral"
glühte,2,"fear, neutral"
hitze,3,"amusement, anger, neutral"
—,18,"admiration, amusement, anger, approval, caring, confusion, curiosity, disappointment, disapproval, embarrassment, fear, gratitude, joy, love, neutral, realization, sadness, surprise"
schenken,3,"amusement, desire, neutral"
zugleich,5,"caring, excitement, neutral, realization, sadness"
wandte,4,"disappointment, embarrassment, neutral, sadness"
taschen,2,"anger, neutral"
rechter,2,"excitement, neutral"
wöchentlich,2,"approval, neutral"
vorbeiging,2,"admiration, neutral"
sagst,2,"admiration, neutral"
sehe,3,"caring, disapproval, neutral"
hüten,2,"curiosity, neutral"
schulter,2,"fear, neutral"
pferdehaut,2,"neutral, surprise"
daneben,2,"disappointment, neutral"
storch,2,"disapproval, neutral"
nest,3,"disgust, grief, neutral"
dache,2,"joy, neutral"
gedeckt,2,"approval, neutral"
reiten,4,"curiosity, desire, love, neutral"
komm,4,"anger, annoyance, curiosity, neutral"
schüssel,2,"admiration, neutral"
schmecken,3,"admiration, disapproval, neutral"
sacke,5,"annoyance, curiosity, fear, love, neutral"
durfte,3,"caring, disapproval, neutral"
aßen,2,"anger, neutral"
hörst,2,"anger, neutral"
bange,2,"fear, neutral"
hu,3,"annoyance, disgust, neutral"
könnt,3,"admiration, caring, neutral"
aufmachen,2,"disapproval, neutral"
scheffel,4,"admiration, approval, embarrassment, neutral"
karren,2,"admiration, neutral"
floß,2,"admiration, neutral"
geschlagen,2,"neutral, realization"
dummen,2,"fear, neutral"
gestern,2,"admiration, neutral"
axt,2,"annoyance, neutral"
kaufen,4,"neutral, optimism, realization, surprise"
gelaufen,2,"fear, neutral"
foppen,2,"anger, neutral"
na,2,"confusion, neutral"
schlimm,3,"amusement, annoyance, neutral"
zurückkehren,2,"disapproval, neutral"
liege,2,"caring, neutral"
böser,2,"neutral, realization"
totschlagen,2,"anger, neutral"
kümmel,3,"annoyance, desire, neutral"
erschlagen,2,"annoyance, neutral"
woher,2,"joy, neutral"
flusse,2,"annoyance, neutral"
möglich,3,"admiration, disapproval, neutral"
viehtreiber,3,"gratitude, neutral, sadness"
kommst,2,"curiosity, neutral"
kühen,2,"admiration, neutral"
warfst,2,"fear, neutral"
seevieh,2,"curiosity, neutral"
vieh,5,"curiosity, fear, love, neutral, surprise"
erzähle,3,"curiosity, disapproval, neutral"
umweg,2,"love, neutral"
erhalte,2,"approval, neutral"
durstig,2,"neutral, sadness"
behälter,2,"joy, neutral"
spielte,4,"admiration, joy, neutral, sadness"
kavalier,2,"admiration, neutral"
einschüchtern,2,"annoyance, neutral"
braun,2,"nervousness, neutral"
brauche,2,"neutral, sadness"
arbeitete,2,"admiration, neutral"
niedlichen,2,"amusement, neutral"
hofdame,2,"fear, neutral"
tue,2,"approval, neutral"
gegangen,3,"disappointment, fear, neutral"
schellen,2,"admiration, neutral"
stellten,2,"annoyance, neutral"
feuerherd,2,"amusement, neutral"
süße,3,"curiosity, love, neutral"
haltet,2,"caring, neutral"
hineingegangen,2,"admiration, neutral"
rieb,3,"confusion, neutral, realization"
sputete,2,"fear, neutral"
leise,6,"admiration, amusement, disgust, joy, neutral, sadness"
geschöpf,3,"annoyance, curiosity, neutral"
haaren,3,"admiration, disgust, neutral"
schlafkammer,2,"admiration, neutral"
schrecklich,3,"admiration, fear, neutral"
wiege,3,"admiration, desire, neutral"
nackten,2,"neutral, sadness"
langes,2,"amusement, neutral"
blondes,2,"admiration, neutral"
fror,2,"admiration, neutral"
beinahe,3,"annoyance, disappointment, neutral"
schleier,2,"admiration, neutral"
schneeweißes,2,"neutral, surprise"
erlosch,2,"admiration, neutral"
erlischt,2,"neutral, realization"
herrliche,7,"admiration, confusion, curiosity, joy, neutral, sadness, surprise"
gänsebraten,2,"joy, neutral"
strich,2,"admiration, neutral"
glanze,2,"admiration, neutral"
heller,3,"admiration, joy, neutral"
glanz,2,"admiration, neutral"
hunger,2,"neutral, sadness"
starr,2,"embarrassment, neutral"
traf,3,"fear, neutral, sadness"
garstig,2,"disgust, neutral"
lampen,2,"amusement, neutral"
magst,2,"approval, neutral"
teetassen,2,"disapproval, neutral"
kerl,2,"admiration, neutral"
genügt,2,"joy, neutral"
wahrhaftig,2,"joy, neutral"
gib,2,"caring, neutral"
prächtigsten,3,"admiration, approval, neutral"
allerbesten,2,"admiration, neutral"
jämmerliche,2,"approval, neutral"
überhaupt,2,"approval, neutral"
türmen,2,"admiration, neutral"
gewohnt,2,"admiration, neutral"
funken,2,"neutral, realization"
einher,2,"neutral, sadness"
verschwanden,3,"admiration, neutral, surprise"
gemalt,2,"neutral, realization"
einsehen,2,"neutral, realization"
feiner,2,"admiration, neutral"
warfen,2,"amusement, neutral"
tabak,2,"admiration, neutral"
dauerte,2,"neutral, realization"
schuhmacherfrau,2,"admiration, neutral"
gemeint,2,"embarrassment, neutral"
karen,6,"admiration, approval, disgust, joy, neutral, remorse"
darein,2,"anger, neutral"
gräulich,2,"fear, neutral"
strömten,2,"disappointment, neutral"
allerliebst,4,"approval, excitement, love, neutral"
rothe,4,"admiration, caring, disgust, neutral"
glänzen,2,"approval, neutral"
paßten,2,"admiration, neutral"
wunderbar,2,"admiration, neutral"
neigte,4,"admiration, gratitude, neutral, realization"
tanzt,4,"amusement, approval, disappointment, neutral"
kniete,2,"love, neutral"
kelche,2,"gratitude, neutral"
stieg,3,"admiration, confusion, neutral"
gewaltig,3,"fear, gratitude, neutral"
gewartet,2,"joy, neutral"
genesen,2,"neutral, sadness"
sünde,4,"fear, neutral, realization, remorse"
finstern,2,"joy, neutral"
besseres,3,"curiosity, neutral, realization"
stolze,3,"admiration, annoyance, neutral"
gnade,2,"joy, neutral"
hineinkommen,2,"disapproval, neutral"
geführt,3,"embarrassment, neutral, sadness"
dienst,3,"curiosity, neutral, sadness"
fleißig,2,"admiration, neutral"
sonntage,2,"excitement, neutral"
orgeltöne,2,"admiration, neutral"
hilf,3,"approval, neutral, sadness"
berührte,3,"neutral, realization, sadness"
orgel,3,"admiration, joy, neutral"
kinderstimmen,2,"joy, neutral"
korn,2,"admiration, neutral"
aufgesetzt,2,"annoyance, neutral"
wäldern,3,"admiration, approval, neutral"
neste,2,"joy, neutral"
schwammen,3,"admiration, disapproval, neutral"
klettenblatt,2,"admiration, neutral"
rapp,2,"love, neutral"
platzen,2,"curiosity, neutral"
schwimmen,3,"admiration, curiosity, neutral"
keins,2,"gratitude, neutral"
entleinmutter,2,"admiration, neutral"
platsch,2,"fear, neutral"
schwamm,4,"admiration, amusement, neutral, remorse"
entenhof,2,"caring, neutral"
aalkopf,3,"admiration, fear, neutral"
euern,2,"admiration, neutral"
thaten,2,"annoyance, neutral"
büschen,2,"love, neutral"
grüßte,2,"admiration, neutral"
gänse,3,"love, neutral, sadness"
richtiger,2,"admiration, neutral"
gekrochen,2,"disgust, neutral"
jäger,2,"admiration, neutral"
dampf,3,"amusement, fear, neutral"
dunkeln,2,"love, neutral"
moore,2,"love, neutral"
tobte,2,"fear, neutral"
kater,3,"curiosity, gratitude, neutral"
henne,2,"admiration, neutral"
sprühte,2,"disgust, neutral"
eier,2,"admiration, neutral"
litt,3,"fear, nervousness, neutral"
güte,3,"admiration, neutral, realization"
darfst,2,"admiration, neutral"
schlechter,2,"disapproval, neutral"
sonderbare,2,"admiration, neutral"
grillen,2,"joy, neutral"
lege,2,"fear, neutral"
glaubst,2,"curiosity, neutral"
zusammenschlagen,2,"admiration, neutral"
eigenthümlichen,2,"neutral, sadness"
glücklichen,2,"joy, neutral"
eise,2,"admiration, neutral"
haufen,2,"fear, neutral"
noth,3,"admiration, fear, neutral"
scheinen,3,"admiration, disappointment, neutral"
brausten,2,"joy, neutral"
duftete,2,"admiration, neutral"
vögeln,2,"curiosity, neutral"
wasserfläche,2,"desire, neutral"
brod,2,"admiration, neutral"
neigten,2,"joy, neutral"
seejungfer,9,"admiration, amusement, curiosity, embarrassment, fear, joy, love, neutral, sadness"
irgendein,2,"admiration, neutral"
kirchtürme,2,"admiration, neutral"
reicher,3,"anger, neutral, pride"
nackte,2,"admiration, neutral"
zart,3,"admiration, approval, neutral"
rosenblatt,3,"admiration, disgust, neutral"
endete,2,"love, neutral"
meeresgrunde,3,"admiration, approval, neutral"
meerweiblein,2,"admiration, neutral"
bilde,2,"caring, neutral"
wurzeln,2,"disgust, neutral"
städten,2,"love, neutral"
tieren,2,"curiosity, neutral"
mondschein,2,"admiration, neutral"
warten,2,"annoyance, neutral"
aufsteigen,2,"admiration, neutral"
längsten,2,"disappointment, neutral"
lärm,2,"admiration, neutral"
schwarm,2,"admiration, neutral"
wilder,2,"neutral, sadness"
hügel,2,"fear, neutral"
schauten,2,"neutral, sadness"
dreist,2,"disappointment, neutral"
herrlichste,3,"admiration, approval, neutral"
kreuzten,2,"neutral, surprise"
emporhob,2,"admiration, neutral"
hübsch,3,"admiration, disappointment, neutral"
austern,2,"admiration, neutral"
schwanze,2,"admiration, neutral"
segel,3,"admiration, fear, neutral"
rührte,2,"annoyance, neutral"
matrosen,2,"fear, neutral"
deck,2,"amusement, neutral"
erschreckt,2,"fear, neutral"
schwangen,2,"disappointment, neutral"
klaren,5,"admiration, amusement, curiosity, gratitude, neutral"
stillen,5,"admiration, approval, desire, neutral, sadness"
tau,2,"admiration, neutral"
bunten,3,"admiration, amusement, neutral"
breitete,2,"neutral, relief"
wogen,2,"gratitude, neutral"
herauf,3,"anger, neutral, sadness"
mindeste,2,"neutral, sadness"
unwetter,2,"fear, neutral"
wünschte,4,"desire, fear, love, neutral"
schimmerte,2,"admiration, neutral"
bucht,2,"fear, neutral"
sorgte,2,"admiration, neutral"
paßte,2,"love, neutral"
reifen,2,"admiration, neutral"
trost,2,"neutral, realization"
flochten,2,"admiration, neutral"
aushalten,2,"caring, neutral"
erhoben,3,"disappointment, neutral, optimism"
säulen,2,"admiration, neutral"
strahlen,2,"love, neutral"
flaggen,2,"amusement, neutral"
innig,2,"love, neutral"
antwort,3,"annoyance, love, neutral"
höhere,2,"annoyance, neutral"
dreihundert,4,"excitement, gratitude, neutral, optimism"
schaum,3,"annoyance, love, neutral"
unsterbliche,6,"approval, confusion, curiosity, desire, neutral, optimism"
schimmernden,2,"desire, neutral"
rechte,3,"admiration, neutral, realization"
klarem,2,"admiration, neutral"
muschelschalen,3,"joy, neutral, pride"
brennenden,2,"neutral, realization"
kummer,3,"admiration, neutral, sadness"
waldhorn,2,"admiration, neutral"
strecke,2,"amusement, neutral"
polypen,2,"fear, neutral"
wälzten,2,"amusement, neutral"
zeigten,2,"disgust, neutral"
errichtet,2,"neutral, surprise"
schwebenden,2,"admiration, neutral"
schritt,2,"anger, neutral"
bedenke,2,"curiosity, neutral"
ineinander,3,"admiration, love, neutral"
behalte,3,"admiration, gratitude, neutral"
schwarzes,2,"fear, neutral"
gehst,2,"disapproval, neutral"
stumm,3,"admiration, disappointment, neutral"
nackend,2,"fear, neutral"
träte,2,"neutral, sadness"
bekleidet,3,"amusement, neutral, realization"
wüßte,2,"admiration, neutral"
zehenspitzen,2,"admiration, neutral"
marmortreppe,2,"neutral, surprise"
unterging,3,"admiration, desire, neutral"
tempel,5,"approval, caring, joy, love, neutral"
gefolge,2,"admiration, neutral"
stummes,3,"admiration, annoyance, neutral"
findelkind,2,"neutral, sadness"
näherte,2,"neutral, realization"
tauchten,2,"approval, neutral"
schleppe,2,"admiration, neutral"
selben,3,"admiration, desire, neutral"
täglich,2,"approval, neutral"
ahnte,2,"admiration, neutral"
atmete,2,"neutral, sadness"
spritzt,2,"gratitude, neutral"
heftete,2,"admiration, neutral"
stürzte,4,"confusion, fear, neutral, surprise"
lächeln,4,"joy, love, neutral, sadness"
prüfungszeit,2,"joy, neutral"
stimmen,2,"admiration, neutral"
schwebten,2,"admiration, neutral"
wem,3,"confusion, love, neutral"
ewiges,2,"annoyance, neutral"
lüfte,2,"joy, neutral"
durchsichtigen,2,"admiration, neutral"
rathe,2,"annoyance, neutral"
amte,2,"confusion, neutral"
verlangten,2,"neutral, sadness"
arbeiteten,2,"annoyance, neutral"
tauge,4,"admiration, confusion, disapproval, neutral"
minister,2,"neutral, realization"
behüte,2,"admiration, neutral"
muster,2,"admiration, neutral"
webte,2,"neutral, sadness"
majestät,2,"admiration, neutral"
beifall,2,"neutral, realization"
procession,2,"admiration, neutral"
titel,3,"annoyance, neutral, realization"
angezündet,3,"amusement, annoyance, neutral"
thronhimmel,2,"admiration, neutral"
merken,2,"annoyance, neutral"
landmanns,2,"neutral, sadness"
erstreckte,2,"fear, neutral"
erbaut,2,"disgust, neutral"
schmerzen,2,"caring, neutral"
fromm,2,"admiration, neutral"
unschuldig,2,"approval, neutral"
stahl,3,"admiration, desire, neutral"
hunderte,3,"admiration, amusement, neutral"
gekostet,2,"disapproval, neutral"
theil,2,"joy, neutral"
baumzweige,2,"love, neutral"
gekannt,2,"joy, neutral"
nahebei,2,"love, neutral"
ufern,2,"admiration, neutral"
weicher,2,"caring, neutral"
unermüdlich,2,"joy, neutral"
strauß,3,"admiration, disappointment, neutral"
süßen,2,"curiosity, neutral"
finster,2,"fear, neutral"
kehrten,2,"anger, neutral"
ruhte,2,"neutral, sadness"
weinten,2,"neutral, sadness"
verstanden,3,"excitement, neutral, optimism"
klippe,3,"love, neutral, realization"
mitte,2,"admiration, neutral"
nehmt,3,"caring, joy, neutral"
welle,2,"admiration, neutral"
muth,2,"curiosity, neutral"
rein,4,"admiration, love, neutral, realization"
fata,2,"neutral, realization"
morgana,2,"neutral, realization"
herrliches,3,"admiration, curiosity, neutral"
hineinbringen,2,"anger, neutral"
stürzten,3,"anger, disgust, neutral"
segelte,2,"love, neutral"
herrlichsten,3,"admiration, disgust, neutral"
glänzend,2,"admiration, neutral"
flachs,2,"admiration, neutral"
merke,3,"annoyance, approval, neutral"
geschlafen,2,"curiosity, neutral"
nessel,2,"neutral, realization"
thue,2,"amusement, neutral"
eilig,2,"admiration, neutral"
floh,3,"fear, love, neutral"
plätscherten,2,"fear, neutral"
handschuhe,2,"neutral, sadness"
blendend,2,"admiration, neutral"
gerichte,2,"admiration, neutral"
schmerzte,2,"neutral, sadness"
ganzem,3,"caring, neutral, sadness"
schmerz,7,"admiration, caring, disappointment, love, neutral, realization, sadness"
qual,2,"caring, neutral"
erduldet,2,"admiration, neutral"
lamien,2,"fear, neutral"
zweifel,2,"fear, neutral"
sammet,2,"admiration, neutral"
schimmernde,3,"fear, neutral, realization"
diamanten,3,"disgust, neutral, surprise"
wünschten,2,"desire, neutral"
fehlte,3,"disappointment, neutral, realization"
freundlichen,2,"fear, neutral"
versprochen,2,"neutral, optimism"
armes,2,"neutral, sadness"
verbreitete,2,"disgust, neutral"
duftende,3,"annoyance, neutral, sadness"
glückseligkeit,2,"neutral, optimism"
gerstenkorn,2,"neutral, sadness"
walnußschale,2,"admiration, neutral"
niedliche,4,"admiration, curiosity, disapproval, neutral"
hausen,2,"admiration, neutral"
blatte,4,"curiosity, disapproval, neutral, sadness"
koax,3,"admiration, disgust, neutral"
zähnen,3,"caring, joy, neutral"
stiel,2,"fear, neutral"
niedlicher,2,"approval, neutral"
schmetterling,2,"love, neutral"
gefiel,3,"admiration, love, neutral"
klauen,2,"amusement, neutral"
loskommen,2,"neutral, sadness"
verhungern,2,"gratitude, neutral"
erbärmlich,2,"neutral, sadness"
gefrorenen,2,"approval, neutral"
samtpelz,2,"admiration, neutral"
besonnener,2,"fear, neutral"
spazieren,2,"annoyance, neutral"
leid,5,"disappointment, love, neutral, realization, sadness"
teppich,2,"admiration, neutral"
vogels,2,"admiration, neutral"
verspätet,2,"neutral, realization"
hierhergekommen,2,"neutral, sadness"
quivit,4,"amusement, curiosity, gratitude, neutral"
langweilige,2,"annoyance, neutral"
samtpelze,2,"neutral, realization"
fehlen,2,"curiosity, neutral"
aussteuer,2,"curiosity, neutral"
ungern,2,"annoyance, neutral"
weintrauben,2,"approval, neutral"
goldkrone,2,"admiration, neutral"
irrte,2,"fear, neutral"
aufgebahrten,2,"disapproval, neutral"
wusste,6,"admiration, confusion, disapproval, joy, love, neutral"
fürchte,2,"fear, neutral"
manchmal,5,"approval, joy, love, neutral, realization"
nährte,2,"neutral, realization"
versteinerten,2,"desire, neutral"
grau,2,"neutral, surprise"
heiratete,3,"admiration, love, neutral"
begleiter,3,"caring, fear, neutral"
erwartung,2,"amusement, neutral"
schnaubte,2,"love, neutral"
stritten,3,"admiration, amusement, neutral"
windstoß,2,"admiration, neutral"
stolz,6,"admiration, annoyance, embarrassment, joy, neutral, pride"
hässliches,2,"annoyance, neutral"
russischen,2,"admiration, neutral"
schwefelholz,2,"neutral, realization"
hölzer,2,"fear, neutral"
wirkte,2,"disappointment, neutral"
dünnes,2,"neutral, sadness"
schachtel,3,"neutral, optimism, realization"
eilten,2,"curiosity, neutral"
flamme,5,"admiration, curiosity, disgust, neutral, realization"
blühen,2,"joy, neutral"
winziges,3,"admiration, joy, neutral"
liebes,3,"disappointment, love, neutral"
blattes,2,"neutral, sadness"
freiheit,2,"approval, neutral"
entdeckte,2,"neutral, realization"
menschenkind,2,"admiration, neutral"
erzählst,2,"admiration, neutral"
ordnung,2,"neutral, realization"
ding,2,"neutral, realization"
felder,2,"neutral, sadness"
schimpfte,2,"love, neutral"
zuneigung,2,"approval, neutral"
unerreichbar,2,"admiration, neutral"
verliebte,2,"love, neutral"
liebte,6,"admiration, annoyance, disappointment, love, neutral, realization"
schmetterlinge,3,"admiration, neutral, surprise"
kronen,2,"admiration, neutral"
schmetterlingen,2,"admiration, neutral"
kümmerte,3,"annoyance, neutral, sadness"
wahr,3,"approval, curiosity, neutral"
umarmten,2,"love, neutral"
diente,2,"gratitude, neutral"
echte,4,"admiration, desire, joy, neutral"
geblendet,2,"admiration, neutral"
neid,2,"neutral, realization"
stattdessen,2,"admiration, neutral"
nachtlager,2,"nervousness, neutral"
stopfte,2,"admiration, neutral"
ertränken,2,"anger, neutral"
bewachte,2,"neutral, realization"
verschwenderisch,2,"annoyance, neutral"
benutzte,2,"admiration, neutral"
staunen,2,"admiration, neutral"
halt,2,"anger, neutral"
verdient,3,"fear, joy, neutral"
gärten,2,"neutral, sadness"
singende,2,"admiration, neutral"
willigte,2,"anger, neutral"
wahre,5,"admiration, desire, disappointment, neutral, realization"
waldgeister,2,"desire, neutral"
entstelltes,2,"disgust, neutral"
versteckte,2,"neutral, surprise"
beantwortete,2,"annoyance, neutral"
liebten,2,"love, neutral"
schwenkte,2,"caring, neutral"
gefeiert,2,"joy, neutral"
zauberte,3,"amusement, joy, neutral"
glasschale,2,"admiration, neutral"
sieger,2,"excitement, neutral"
erklären,2,"admiration, neutral"
entkam,2,"disappointment, neutral"
sicherheit,2,"love, neutral"
herzform,2,"desire, neutral"
windhauch,2,"neutral, realization"
versuchte,4,"disappointment, neutral, sadness, surprise"
schützte,2,"fear, neutral"
gepäck,2,"neutral, optimism"
morgentau,2,"neutral, realization"
baute,2,"admiration, neutral"
neugier,4,"annoyance, curiosity, neutral, surprise"
scham,2,"embarrassment, neutral"
geriet,4,"fear, joy, neutral, surprise"
wischte,2,"admiration, neutral"
gestand,3,"disappointment, neutral, sadness"
lernte,2,"amusement, neutral"
geheimnisvoll,2,"joy, neutral"
vernunft,2,"neutral, realization"
küsste,2,"love, neutral"
zersprang,2,"fear, neutral"
schätzen,3,"caring, joy, neutral"
victorias,2,"love, neutral"
gehörte,2,"neutral, realization"
gemächer,2,"approval, neutral"
meeresvolk,2,"disappointment, neutral"
beobachtete,3,"admiration, caring, neutral"
scuttle,2,"neutral, realization"
eriks,2,"neutral, realization"
vertrag,2,"grief, neutral"
herzens,3,"admiration, love, neutral"
bursche,2,"neutral, sadness"
verdienen,2,"caring, neutral"
rufen,2,"amusement, neutral"
falle,2,"amusement, neutral"
fegte,2,"admiration, neutral"
dank,3,"approval, gratitude, neutral"
skeptisch,2,"admiration, neutral"
beschloss,2,"admiration, neutral"
gelangten,2,"joy, neutral"
hoher,2,"disappointment, neutral"
mitwirkenden,2,"annoyance, neutral"
bühnenbild,2,"annoyance, neutral"
scheiterte,2,"disappointment, neutral"
menschenreich,2,"love, neutral"
lina,4,"admiration, neutral, realization, sadness"
flattern,2,"curiosity, neutral"
rannte,2,"admiration, neutral"
froschsohn,2,"admiration, neutral"
öffneten,2,"joy, neutral"
halfen,2,"desire, neutral"
liebevolle,2,"love, neutral"
zerschlug,3,"caring, confusion, neutral"
behandelte,2,"love, neutral"
sklavin,2,"admiration, neutral"
grauen,3,"fear, neutral, sadness"
pustete,2,"joy, neutral"
fanden,4,"admiration, disappointment, neutral, remorse"
warteten,2,"disgust, neutral"
torwächter,2,"joy, neutral"
lippen,3,"admiration, neutral, sadness"
murmelte,3,"desire, neutral, sadness"
immerfroh,3,"admiration, love, neutral"
auszusetzen,2,"love, neutral"
eisig,2,"admiration, neutral"
krächzte,2,"joy, neutral"
duell,2,"disappointment, neutral"
eissplittern,2,"neutral, optimism"
wärmer,3,"joy, neutral, realization"
neu,2,"love, neutral"
verändern,3,"approval, joy, neutral"
wich,3,"admiration, fear, neutral"
besiegte,2,"admiration, neutral"
monster,2,"annoyance, neutral"
zitternd,2,"neutral, sadness"
regnen,2,"admiration, neutral"
herbeizaubern,2,"excitement, neutral"
zuhause,4,"disappointment, joy, neutral, realization"
befahl,2,"excitement, neutral"
verbeugte,2,"admiration, neutral"
irgendwo,2,"neutral, optimism"
gesichter,2,"disgust, neutral"
verschaffte,2,"neutral, realization"
taten,3,"admiration, approval, neutral"
gezeigt,2,"neutral, realization"
freizulassen,2,"neutral, realization"
flatterten,3,"disappointment, fear, neutral"
stolperte,2,"curiosity, neutral"
sees,2,"neutral, sadness"
nickten,4,"admiration, approval, joy, neutral"
riss,2,"anger, neutral"
ärmel,2,"neutral, realization"
morgenlicht,2,"admiration, neutral"
bewunderte,2,"admiration, neutral"
begeistert,2,"excitement, neutral"
ritter,3,"love, neutral, realization"
jacke,2,"neutral, realization"
arbeite,2,"anger, neutral"
größter,2,"fear, neutral"
lüge,2,"disappointment, neutral"
verbrachte,3,"fear, love, neutral"
bewunderer,2,"admiration, neutral"
lächelten,2,"joy, neutral"
hinweg,2,"admiration, neutral"
auto,2,"disappointment, neutral"
schwächer,2,"admiration, neutral"
grafen,2,"disappointment, neutral"
verwundet,2,"disappointment, neutral"
lyria,4,"caring, fear, love, neutral"
dunkelhaarigen,2,"love, neutral"
blutenden,2,"caring, neutral"
netze,2,"admiration, neutral"
blühte,2,"admiration, neutral"
hallte,2,"neutral, sadness"
unendlich,2,"admiration, neutral"
wunderhölzern,2,"desire, neutral"
getrennt,2,"neutral, sadness"
sammelten,2,"approval, neutral"
ruhigen,2,"admiration, neutral"
stiller,2,"disappointment, neutral"
leiser,2,"neutral, realization"
morgengrauen,2,"disappointment, neutral"
sun‑jae,3,"neutral, optimism, realization"
tae‑soo,2,"neutral, sadness"
gier,3,"admiration, neutral, realization"
verletzt,2,"disappointment, neutral"
drohte,2,"fear, neutral"
versenkten,2,"anger, neutral"
neckte,2,"caring, neutral"
lasse,2,"annoyance, neutral"
französisch,2,"annoyance, neutral"
gassen,2,"neutral, sadness"
hungriger,2,"neutral, sadness"
seitdem,2,"nervousness, neutral"
machtlos,2,"neutral, realization"
verlorener,2,"admiration, neutral"
milder,2,"love, neutral"
gestillt,2,"neutral, relief"
verstorbene,2,"neutral, realization"
überglücklich,3,"admiration, joy, love"
gestehen,2,"admiration, love"
schlicht,3,"admiration, approval, curiosity"
besonderes,3,"admiration, desire, excitement"
magisches,2,"admiration, gratitude"
freut,2,"admiration, excitement"
tauglich,3,"admiration, approval, realization"
befehle,2,"admiration, love"
reinlichkeit,2,"admiration, realization"
krähensprache,2,"admiration, approval"
zahmen,2,"admiration, love"
geliebten,2,"admiration, love"
abgemalt,2,"admiration, realization"
drucken,2,"admiration, fear"
seh,2,"admiration, disappointment"
wiedergeben,2,"admiration, desire"
hauptrolle,2,"admiration, disappointment"
schätze,2,"admiration, anger"
mittel,2,"admiration, love"
hurrah,3,"admiration, amusement, joy"
geträumt,6,"admiration, annoyance, confusion, excitement, love, surprise"
glückte,2,"admiration, disappointment"
fräulein,2,"admiration, love"
dankte,2,"admiration, gratitude"
süß,2,"admiration, sadness"
roch,2,"admiration, joy"
liebevoll,2,"admiration, love"
prächtiges,3,"admiration, approval, realization"
lappen,2,"admiration, disappointment"
außerordentlich,2,"admiration, anger"
adel,2,"admiration, approval"
verdiente,2,"admiration, fear"
wundersam,3,"admiration, sadness, surprise"
tänze,2,"admiration, amusement"
offenbarte,2,"admiration, realization"
gleichst,2,"admiration, love"
rosenhecken,2,"admiration, gratitude"
niedliches,2,"admiration, gratitude"
zitronen,2,"admiration, approval"
marmorschloß,2,"admiration, approval"
häßlicher,2,"admiration, annoyance"
dose,2,"admiration, surprise"
wiesenblumen,2,"admiration, disappointment"
tapfer,2,"admiration, disappointment"
scherzte,2,"admiration, joy"
süßer,2,"admiration, love"
neugierig,2,"admiration, curiosity"
unruhig,2,"admiration, fear"
summten,2,"admiration, anger"
jubel,2,"admiration, desire"
klangen,2,"admiration, disappointment"
gefrorener,2,"admiration, joy"
wirklichkeit,3,"approval, fear, surprise"
weiten,3,"amusement, gratitude, surprise"
furcht,4,"annoyance, fear, realization, surprise"
schöneres,2,"disappointment, surprise"
heimkehrte,2,"optimism, surprise"
erstaunlichste,2,"desire, surprise"
mussten,2,"annoyance, surprise"
einöde,2,"curiosity, realization"
weinst,2,"annoyance, curiosity"
wißt,2,"curiosity, gratitude"
schläfst,2,"approval, curiosity"
denkst,2,"curiosity, love"
verkehrt,2,"amusement, curiosity"
fühle,4,"curiosity, disappointment, realization, relief"
instrument,3,"annoyance, curiosity, desire"
wünsche,4,"annoyance, caring, curiosity, desire"
veränderte,2,"curiosity, realization"
hüh,2,"anger, pride"
vorwürfe,3,"amusement, anger, sadness"
lachend,3,"amusement, anger, approval"
verdammt,2,"anger, sadness"
erbarmer,3,"anger, caring, sadness"
dummes,2,"anger, realization"
mücken,2,"anger, disgust"
ziel,3,"desire, joy, love"
schweinhirtin,2,"desire, love"
sonnenseite,2,"desire, joy"
offizier,2,"desire, sadness"
wiederzusehen,2,"desire, fear"
erfüllten,2,"desire, disappointment"
ungerechtigkeit,2,"desire, disapproval"
unglücklich,4,"caring, disappointment, realization, sadness"
vision,2,"love, realization"
jemandem,3,"caring, fear, realization"
nachgejagt,2,"disappointment, realization"
bezug,2,"joy, realization"
schreckliches,2,"fear, realization"
kobold,2,"caring, realization"
tracht,3,"annoyance, fear, realization"
besinnung,2,"realization, sadness"
vorgegangen,2,"joy, realization"
gefühl,2,"annoyance, realization"
besondere,3,"approval, optimism, realization"
