Token,EmotionCount,Emotions
bewegen,2,"neutral, realization"
zeigt,3,"admiration, amusement, neutral"
entgegen,2,"fear, neutral"
guten,6,"admiration, excitement, gratitude, joy, love, neutral"
hält,2,"admiration, neutral"
lange,11,"admiration, amusement, annoyance, curiosity, disgust, fear, joy, love, neutral, realization, sadness"
daran,8,"admiration, approval, desire, joy, love, neutral, sadness, surprise"
setzen,2,"admiration, neutral"
erwacht,4,"admiration, love, neutral, sadness"
gerdas,4,"fear, love, neutral, sadness"
zerstört,2,"confusion, neutral"
märchen,3,"admiration, disappointment, neutral"
armer,6,"admiration, anger, desire, disappointment, neutral, sadness"
präsentiert,2,"neutral, realization"
abend,9,"annoyance, approval, desire, excitement, fear, gratitude, joy, neutral, realization"
fortgehen,2,"neutral, realization"
nacht,13,"admiration, amusement, annoyance, approval, caring, desire, disappointment, excitement, fear, joy, love, neutral, sadness"
präsentieren,2,"admiration, neutral"
puppen,2,"neutral, sadness"
soldat,11,"admiration, amusement, annoyance, approval, desire, fear, gratitude, joy, neutral, optimism, realization"
wurde,22,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disgust, fear, gratitude, grief, joy, love, neutral, optimism, realization, remorse, sadness, surprise"
geht,9,"admiration, annoyance, disapproval, excitement, fear, love, neutral, pride, sadness"
arm,4,"curiosity, neutral, realization, sadness"
trifft,5,"admiration, caring, disappointment, neutral, realization"
hinab,4,"approval, curiosity, neutral, sadness"
gold,10,"admiration, approval, confusion, disgust, gratitude, love, neutral, realization, sadness, surprise"
tornister,4,"admiration, anger, gratitude, neutral"
verspricht,3,"love, neutral, optimism"
zurück,13,"admiration, anger, approval, desire, disappointment, excitement, fear, joy, neutral, pride, realization, sadness, surprise"
versprechen,3,"annoyance, neutral, sadness"
eilt,2,"love, neutral"
fort,9,"admiration, anger, annoyance, caring, confusion, desire, disapproval, neutral, sadness"
soldaten,8,"admiration, annoyance, disappointment, excitement, gratitude, love, neutral, realization"
gelangt,2,"curiosity, neutral"
besiegt,2,"love, neutral"
marktplatz,2,"admiration, neutral"
sofort,6,"admiration, fear, love, neutral, realization, surprise"
verliebt,6,"admiration, fear, love, neutral, realization, sadness"
viele,7,"admiration, amusement, annoyance, approval, caring, neutral, sadness"
freier,2,"admiration, neutral"
vater,11,"admiration, annoyance, fear, grief, joy, love, neutral, optimism, realization, sadness, surprise"
königreich,7,"admiration, desire, disappointment, joy, love, neutral, realization"
geld,13,"admiration, amusement, anger, approval, curiosity, desire, disappointment, embarrassment, fear, joy, love, neutral, optimism"
reichen,2,"admiration, neutral"
sodass,2,"annoyance, neutral"
hotel,3,"admiration, neutral, sadness"
steht,8,"admiration, approval, confusion, joy, love, neutral, pride, realization"
gute,7,"admiration, approval, disappointment, gratitude, neutral, optimism, realization"
feuerzeug,7,"admiration, amusement, curiosity, disappointment, gratitude, neutral, optimism"
gerufen,2,"annoyance, neutral"
wunsch,5,"desire, disapproval, joy, neutral, sadness"
müsse,4,"admiration, disapproval, neutral, sadness"
wünscht,2,"desire, neutral"
her,5,"admiration, curiosity, fear, love, neutral"
kurze,2,"admiration, neutral"
stube,7,"admiration, approval, curiosity, disgust, love, neutral, sadness"
schlafende,2,"joy, neutral"
glaubt,2,"curiosity, neutral"
träume,5,"amusement, disappointment, embarrassment, neutral, sadness"
spaziergang,2,"caring, neutral"
erfreut,3,"admiration, joy, neutral"
schnee,5,"admiration, amusement, curiosity, joy, neutral"
sommer,7,"admiration, amusement, curiosity, disappointment, gratitude, neutral, sadness"
küssen,4,"admiration, desire, love, neutral"
erkennt,5,"admiration, embarrassment, joy, neutral, realization"
traum,7,"admiration, annoyance, desire, excitement, fear, joy, neutral"
empört,3,"anger, annoyance, neutral"
davon,14,"admiration, amusement, approval, curiosity, desire, disappointment, fear, joy, love, neutral, optimism, pride, realization, sadness"
bett,8,"admiration, amusement, disappointment, disapproval, fear, joy, love, neutral"
genug,7,"admiration, annoyance, approval, curiosity, love, neutral, realization"
hochzeit,5,"admiration, desire, joy, neutral, realization"
besteht,3,"love, neutral, pride"
stellt,5,"anger, curiosity, neutral, realization, sadness"
knifflige,2,"gratitude, neutral"
frage,7,"annoyance, confusion, curiosity, embarrassment, fear, gratitude, neutral"
zauberers,2,"gratitude, neutral"
richtig,6,"admiration, approval, disappointment, joy, love, neutral"
beantworten,2,"gratitude, neutral"
darf,9,"admiration, annoyance, approval, confusion, disappointment, disapproval, neutral, pride, sadness"
heiraten,8,"curiosity, desire, disappointment, excitement, joy, love, neutral, sadness"
befiehlt,2,"curiosity, neutral"
bemerkt,2,"joy, neutral"
liegt,4,"admiration, annoyance, approval, neutral"
kurzen,3,"admiration, neutral, sadness"
erscheint,5,"admiration, disappointment, fear, neutral, realization"
bereits,3,"admiration, neutral, realization"
löst,2,"annoyance, neutral"
unsichtbar,3,"admiration, joy, neutral"
gefangenen,2,"neutral, realization"
könig,16,"admiration, annoyance, approval, confusion, curiosity, disappointment, disgust, excitement, joy, love, neutral, optimism, pride, realization, sadness, surprise"
zaubert,2,"admiration, neutral"
nase,4,"annoyance, disgust, love, neutral"
möchte,10,"admiration, amusement, annoyance, curiosity, desire, disappointment, excitement, joy, neutral, sadness"
schicksal,2,"neutral, realization"
heirat,2,"admiration, neutral"
wege,4,"confusion, joy, neutral, surprise"
aufgabe,2,"fear, neutral"
erfüllt,5,"admiration, disapproval, joy, neutral, sadness"
verlangt,3,"anger, excitement, neutral"
prinz,11,"admiration, curiosity, desire, disappointment, disapproval, excitement, joy, love, neutral, sadness, surprise"
geliebte,2,"love, neutral"
suchen,2,"amusement, neutral"
letztendlich,2,"admiration, neutral"
ehe,3,"admiration, neutral, surprise"
liebt,4,"curiosity, love, neutral, realization"
eröffnet,2,"disappointment, neutral"
könne,8,"admiration, approval, desire, disapproval, disgust, excitement, neutral, surprise"
sei,14,"admiration, annoyance, approval, curiosity, desire, disappointment, disapproval, disgust, fear, gratitude, neutral, realization, sadness, surprise"
ort,2,"joy, neutral"
versteht,2,"anger, neutral"
puppentheater,2,"joy, neutral"
lebt,2,"annoyance, neutral"
frau,13,"admiration, amusement, annoyance, approval, caring, curiosity, fear, joy, love, neutral, realization, sadness, surprise"
kindern,3,"gratitude, neutral, realization"
montag,2,"admiration, neutral"
samstag,2,"admiration, neutral"
hans,5,"gratitude, joy, love, neutral, surprise"
feld,4,"admiration, grief, neutral, realization"
familie,4,"desire, disappointment, disgust, neutral"
haut,3,"admiration, neutral, sadness"
markt,3,"amusement, neutral, realization"
aufgrund,3,"approval, disgust, neutral"
übernachten,2,"disappointment, neutral"
schickt,2,"admiration, neutral"
boden,6,"admiration, disappointment, fear, neutral, realization, sadness"
empfängt,2,"nervousness, neutral"
behauptet,2,"annoyance, neutral"
kuchen,2,"admiration, neutral"
befinden,2,"neutral, optimism"
sogar,3,"admiration, desire, neutral"
``,25,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, joy, love, neutral, optimism, pride, realization, remorse, sadness, surprise"
'',24,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, joy, love, neutral, optimism, pride, realization, sadness, surprise"
sitzt,6,"admiration, approval, confusion, disapproval, love, neutral"
dankbarkeit,2,"admiration, neutral"
schuhe,9,"admiration, desire, disappointment, fear, joy, neutral, realization, sadness, surprise"
daheim,3,"admiration, joy, neutral"
nachdem,4,"caring, disappointment, neutral, pride"
toten,3,"annoyance, caring, neutral"
bekommen,15,"admiration, amusement, annoyance, caring, confusion, curiosity, disappointment, excitement, joy, love, neutral, optimism, realization, sadness, surprise"
erschlägt,2,"annoyance, neutral"
versucht,5,"anger, annoyance, joy, neutral, surprise"
wegen,4,"admiration, anger, neutral, remorse"
preisvorstellungen,2,"amusement, neutral"
zuvor,6,"admiration, amusement, anger, fear, neutral, realization"
kirche,4,"admiration, disapproval, fear, neutral"
davor,3,"anger, fear, neutral"
stehen,7,"admiration, curiosity, disgust, fear, joy, love, neutral"
steine,3,"caring, disappointment, neutral"
feind,3,"fear, neutral, realization"
geworfen,2,"admiration, neutral"
wenig,5,"admiration, joy, neutral, realization, sadness"
wiese,2,"admiration, neutral"
neben,2,"love, neutral"
berichtet,3,"admiration, love, neutral"
grund,3,"admiration, curiosity, neutral"
flusses,2,"curiosity, neutral"
fee,6,"gratitude, joy, love, neutral, sadness, surprise"
geschenkt,2,"joy, neutral"
ertrinkt,2,"caring, neutral"
meerjungfrau,4,"admiration, amusement, neutral, realization"
–,13,"admiration, amusement, annoyance, approval, caring, disappointment, gratitude, joy, love, neutral, realization, sadness, surprise"
auge,3,"admiration, amusement, neutral"
meerkönigs,2,"approval, neutral"
stelle,5,"approval, desire, joy, neutral, surprise"
see,6,"admiration, disappointment, fear, gratitude, joy, neutral"
wilde,3,"annoyance, love, neutral"
töchter,2,"approval, neutral"
glänzenden,4,"admiration, approval, excitement, neutral"
perlen,2,"neutral, pride"
heute,2,"excitement, neutral"
geburtstag,4,"admiration, excitement, joy, neutral"
singen,6,"admiration, curiosity, desire, disappointment, excitement, neutral"
singt,2,"love, neutral"
liebe,8,"admiration, approval, caring, desire, joy, love, neutral, realization"
voller,9,"admiration, amusement, fear, gratitude, joy, love, neutral, pride, realization"
trauer,5,"admiration, joy, love, neutral, sadness"
bricht,2,"love, neutral"
treibt,2,"anger, neutral"
retten,5,"admiration, approval, desire, neutral, sadness"
augen,12,"admiration, amusement, desire, disappointment, disapproval, excitement, fear, love, neutral, realization, sadness, surprise"
schiff,6,"caring, joy, neutral, realization, sadness, surprise"
meereskönig,2,"neutral, realization"
lassen,9,"admiration, annoyance, approval, disapproval, embarrassment, joy, love, neutral, sadness"
gleitet,2,"neutral, sadness"
sanft,2,"curiosity, neutral"
herab,5,"anger, fear, love, neutral, sadness"
blaue,4,"admiration, disgust, neutral, surprise"
haar,3,"admiration, confusion, neutral"
schwester,8,"admiration, amusement, approval, caring, joy, love, neutral, sadness"
erste,4,"annoyance, curiosity, disapproval, neutral"
seejungfrau,3,"joy, neutral, sadness"
schwestern,8,"admiration, amusement, annoyance, desire, fear, joy, neutral, sadness"
großmutter,10,"admiration, anger, annoyance, approval, disappointment, embarrassment, joy, love, neutral, sadness"
königin,11,"admiration, amusement, annoyance, caring, confusion, desire, disappointment, excitement, joy, love, neutral"
nordlicht,2,"admiration, neutral"
gelben,3,"admiration, joy, neutral"
meer,7,"admiration, amusement, curiosity, disappointment, love, neutral, sadness"
feuer,4,"admiration, disgust, neutral, realization"
singenden,2,"joy, neutral"
fischen,2,"fear, neutral"
blumen,10,"admiration, amusement, anger, annoyance, disapproval, disgust, gratitude, love, neutral, sadness"
schafen,2,"admiration, neutral"
fragt,3,"embarrassment, joy, neutral"
nixe,5,"admiration, caring, excitement, neutral, surprise"
verbleib,2,"love, neutral"
mutter,12,"admiration, caring, curiosity, disappointment, disgust, fear, joy, love, neutral, realization, sadness, surprise"
