Emotion,Token,Frequency
neutral,meere,17
neutral,übergangen,1
neutral,sehnsuchtsvoll,2
neutral,blickt,3
neutral,älteren,4
neutral,oberfläche,8
neutral,schwimmt,8
neutral,vergleicht,1
neutral,aussehen,9
neutral,frosch,2
neutral,vergangen,1
neutral,fest,35
neutral,bevor,35
neutral,bäumen,7
neutral,gefährlichen,3
neutral,kuss,14
neutral,königliche,7
neutral,meeresfamilie,3
neutral,kette,3
neutral,kostbaren,3
neutral,steinen,4
neutral,rote,6
neutral,inneren,2
neutral,meeresvulkans,1
neutral,gefunden,27
neutral,behausung,1
neutral,meereshexe,1
neutral,roten,32
neutral,zweimal,6
neutral,behielt,4
neutral,schenkte,7
neutral,stürme,5
neutral,besänftigen,2
neutral,begehren,1
neutral,wunderschöne,2
neutral,stimme,43
neutral,hören,21
neutral,weiß,34
neutral,/blendet,1
neutral,sinne/,1
neutral,rot,12
neutral,zweite/er,1
neutral,verschließt,1
neutral,lippen/,1
neutral,schwarz,4
neutral,dritte/er,1
neutral,versteinert,2
neutral,herzen/,1
neutral,wer,31
neutral,/der,1
neutral,spürt,2
neutral,nie,66
neutral,schmerzen.,1
neutral,segelt,4
neutral,oben,51
neutral,jungen,33
neutral,hört,14
neutral,sehnsucht,7
neutral,kurs,1
neutral,tiefe,12
neutral,meeres,7
neutral,schar,2
neutral,königlichen,8
neutral,begleiten,3
neutral,feiert,3
neutral,prächtigen,18
neutral,feuerwerk,2
neutral,kentern,1
neutral,schleicht,4
neutral,bewusstlosen,1
neutral,meeresschaum,6
neutral,auflöst,1
neutral,erdenmädchen,1
neutral,land,33
neutral,fröhlich,4
neutral,herbeireitet,1
neutral,schöne,19
neutral,kummervoll,1
neutral,meerkönig,5
neutral,lieblingstochter,1
neutral,streng,4
neutral,erdenprinz,1
neutral,immer,57
neutral,dunkelhaarige,2
neutral,denken,15
neutral,vorstellung,9
neutral,halben,3
neutral,jahr,12
neutral,meerprinzen,1
neutral,untergehenden,1
neutral,festes,2
neutral,gekommen,21
neutral,flüchtet,4
neutral,läuft,6
neutral,meerhexe,5
neutral,menschliche,6
neutral,erhalten,18
neutral,vollkommene,1
neutral,lied,9
neutral,erfüllte,3
neutral,herz,89
neutral,brechen,9
neutral,auflösen,1
neutral,brautwahl,1
neutral,wildheit,1
neutral,heimgesuchten,1
neutral,brautschau,1
neutral,staatsfinanzen,1
neutral,aufgewühlte,1
neutral,natur,3
neutral,zerrüttet,1
neutral,prinzessinnen,10
neutral,vielen,15
neutral,ländern,12
neutral,garten,37
neutral,wandelt,2
neutral,einsam,6
neutral,bildschöne,1
neutral,menschengestalt,1
neutral,trauen,1
neutral,reisen,7
neutral,innere,2
neutral,flehen,1
neutral,fischernetze,1
neutral,schweigen,3
neutral,muscheln,1
neutral,finanzen,1
neutral,sichern,1
neutral,schiffe,18
neutral,laufen,11
neutral,färbt,1
neutral,zuweilen,3
neutral,blutrot,1
neutral,blutigen,2
neutral,füße,16
neutral,reinigen,1
neutral,scheint,6
neutral,stummen,1
neutral,meeresschönen,1
neutral,zuneigen,1
neutral,südreichs,1
neutral,ratgeber,2
neutral,veranlassen,1
neutral,brautbesuch,1
neutral,fernen,2
neutral,südreich,2
neutral,südreiches,1
neutral,erkennen,9
neutral,meermädchen,2
neutral,benommen,1
neutral,hochzeitspaar,1
neutral,zauberschlaf,1
neutral,messer,13
neutral,sonnenaufgang,1
neutral,umbringen,2
neutral,ratlos,4
neutral,dolch,2
neutral,liebespaar,1
neutral,meervaters,1
neutral,mahnt,1
neutral,eile,3
neutral,drängt,2
neutral,fall,3
neutral,zerschellen,1
neutral,neigt,2
neutral,schrei,4
neutral,erwachen,2
neutral,braut,18
neutral,rauscht,2
neutral,erhebt,2
